Review,Rating,Country,user_avis,Date
"Pas de commande sans compteImpossible de passer commande si on ne crée pas de compte.J’ai passé commande, j’ai reçu un mail de confirmation et 24h après Nike a annulé ma commande car « présentant un risque élevé ». 2 fois!J’ai appelé le service client, 20 minutes de discussion, aucune solution mais ils reviennent vers moi. C’était il y a 3 mois, j’attends toujours!!La 3e fois, je crée un compte et ma commande est confirmée et livrée sans soucis. J’étais coincée, Nike était le seul à avoir le maillot que voulait mon neveu. Mais j’ai raté son anniversaire.Merci Nike !!Ps: bien sûr, j’ai supprimé mon compte",1.0,FR,1avis,11 juillet 2024
"Ne jamais commander sur NikeNe jamais commander sur Nike, ils volent les articles et ne les remboursent pas ! En plus leurs conseillers ne comprennent rien du tout au téléphone ! Voilà ce que c’est de délocaliser",1.0,FR,1avis,20 juin 2024
"Jamais déçu du process de commandeJamais déçu du process de commande, de la livraison ou même des articles ! Et quand y'a un soucis, le service client est topissime.",5.0,FR,2avis,24 octobre 2024
"2 paires de TN full cuir défectueuse2 paires de TN full cuir défectueuse, plein de colle et semelle qui se désolidarise du cuir en 1 journée?! Code promo de 25% anniversaire à utiliser uniquement sur une sélection d’invendu ! Voici le déclin de NIKE, zéro qualité et plus de respect du client! Autrefois une marque premium,  aujourd'hui une marque à mettre en soldes ! Quelle désastre,  quelle honte pour des chaussures à 189€ ! Ils les ont retirée du site officiel,mais  ATTENTION ces ""Nike air max plus FULL CUIR NOIR "" sont toujours en vente chez Foot locker et sur d'autres sites internet, et évidemment ils n'acceptent pas les retours si portée... ils nous prennent pour des guignols ! NIKE c'est fini pour moi !",1.0,BE,12avis,16 octobre 2024
"N'achetez pas NikeLe service client que ce soit mail ou téléphone sont incompétents. La paire de chaussures achetées portaient de tels défauts que même une contrefaçon étais moins grossière. Du coup je les ai retourné depuis plus de 4 mois et j'ai tout bonnement étais trompé par NIKE....Car toujours pas de remboursement depuis et ils ont toujours le même discours,à croire que c'est du mail type. Je vais déposer plainte contre nike car c'est abusé. A éviter absolument!!!!!",1.0,FR,6avis,01 août 2024
"A LA LIMITE DE L'ESCROQUERIEDes chaussures pour ma fille qui se sont défaites sur la couture au bout de deux jours.. Renvoi effectué pour un échange depuis 6 semaines. J'attends encore l'échange. La semaine dernière quelqu'un sur leur CHAT me dit qu'il s'occupent de me renvoyer la nouvelle paire donc à recevoir d'ici 4 jours, une semaine après toujours RIEN. J'appelle le service client et là on me dit qu'on ne renvoie rien car RUPTURE DE STOCK. OK c'est bien sauf que la semaine d'avant ce n'est pas ce qu'on me dit, on ne tient pas au courant donc on prend les gens pour des IMBECILES !! Soit disant du coup aujourd'hui ils ont procédé au remboursement.. à voir je n'y crois pas car même la on reçoit un mail avec une étiquette de retour du produit. Du grand n'importe quoi !! Vous méritez tout vos avis négatifs ! Pour le moment vous êtes des VOLEURS.",1.0,FR,1avis,21 octobre 2024
"Banni sans aucune explicationBanni sans aucune explication. J'achète très peu sur le site, je ne fais aucun resell, je contacte le service client, le débille me dit d'aller lire les cgu du site... Je lui demande de m'expliquer qu'elle est ""exactement"" le problème, il ne sait pas me répondre. Bravo Nike, en plus d'être irrespectueux, vous êtes mauvais commerçant",1.0,FR,7avis,01 octobre 2024
"L'application est totalement incapable…L'application est totalement incapable de gérer un flux important de connexions simultanées, rendant impossible l'obtention d'une paire. On est loin d'un tirage au sort, ça ressemble bien plus à une course où seul le premier arrivé est servi. Après de nombreuses tentatives infructueuses, laissons tomber ce site",1.0,FR,5avis,28 septembre 2024
"Commande faite sur des À ma manièreCommande faite sur des À ma manière , colis marqué signer par moi même alors que je suis au travail , quand je rente aucun colis , et Nike me dit que je ne peux pas me faire rembourser car le bon signé par moi même alors que je ne suis pas la . Merci Chronospost",,FR,1avis,28 septembre 2024
DefautsJe viens de recevoir mon colis pour une paire de baskets a 190€! Quelle déception quand je vois que mes chaussures ont des defauts!!!! A croire que le site nike expedie que des baskets que personne ne veut en magasin,1.0,FR,1avis,15 octobre 2024
Des voleurs ils veulent pas rembourser…Des voleurs ils veulent pas rembourser des chaussures qu’on en ont ramène en magasin Il vous donne une carte cadeau ne plus acheter sur leur site,1.0,FR,1avis,08 octobre 2024
"Colis livré par UPSColis livré par UPS. Pas le temps de vérifier l’état : le carton était à moitié ouvert, il manque un jogging à ma commande…Quand je clique sur mon mail de commande, elle ne s’affiche pas ! Je suis en attente après avoir fait une réclamation à UPS qui n'aboutit pas. Le tchat Nike a été efficace pour lancer une enquête mais j'attends de voir l'issue...",3.0,FR,16avis,07 octobre 2024
